,"('Bakery', 'Hot Drinks')","('Cold Sandwiches', 'Cold Drinks')","('Cold Sandwiches', 'Hot Drinks')","('Warm Sandwiches', 'Cold Drinks')","('Warm Sandwiches', 'Hot Drinks')"
0,2.6559236467236467,1.3612887989203777,1.4158538262427822,1.4757495756276244,1.695223443223443
1,2.6559236467236467,1.2902023010300825,1.4158538262427822,1.3459020146520146,1.695223443223443
2,2.6559236467236467,0.8094589055899399,1.4158538262427822,0.8331674208144797,1.695223443223443
3,2.6559236467236467,1.3072554655870443,1.4158538262427822,1.3937429237429235,1.695223443223443
4,2.6559236467236467,1.2948326382315147,1.4158538262427822,1.2957763837102758,1.695223443223443
5,1.1932519952779923,1.2030351390177358,0.8600451887293993,1.2810053178584486,0.8955661738680606
6,0.9761754320158984,1.1932855353228045,0.7473193858810421,1.259698131801215,0.8180948947604121
7,1.6027440993788817,1.2030351390177358,1.077921171171171,1.2810053178584486,1.2090852211775982
8,1.251739827855467,1.3262054655870446,0.8893925825964659,1.3751622187336472,0.9314837398373984
9,1.8738161802355355,1.342823886639676,1.1876591845905906,1.420985347985348,1.350974025974026
10,1.5665080213903744,1.2650558647286396,1.039397531030761,1.2305221104835375,1.0940219009061114
11,1.5837729210261178,1.2735804655870444,1.0373007757835864,1.2482673992673992,1.0724413919413922
12,1.6135144927536231,1.2730293495771243,1.0826590909090907,1.247666906863628,1.2131498267231422
13,1.6135144927536231,1.267659451617941,1.0826590909090907,1.236066447621378,1.2131498267231422
14,2.3527113237639554,1.3343016194331982,1.3338157081014226,1.3970988231626529,1.5428001506855675
15,1.3396320790859626,1.2850206829783493,0.9261931311329168,1.273750375307752,0.9570320171013325
16,1.6405857300594142,1.2735804655870444,1.0766886817714447,1.2482673992673992,1.152004019919865
17,1.6405857300594142,1.342823886639676,1.0766886817714447,1.420985347985348,1.152004019919865
18,2.204103896103896,1.2850206829783493,1.192446155428089,1.273750375307752,1.4487406846027535
19,2.204103896103896,1.2735804655870444,1.192446155428089,1.2482673992673992,1.4487406846027535
20,2.204103896103896,1.2650558647286396,1.192446155428089,1.2305221104835375,1.4487406846027535
21,2.204103896103896,1.2735804655870444,1.192446155428089,1.2482673992673992,1.4487406846027535
22,2.204103896103896,1.3770993700341525,1.192446155428089,1.5249959844362286,1.4487406846027535
23,1.0999798704120738,1.3354214402618656,0.742192100323354,1.398319824383654,0.8461808924827793
24,0.9222861397178808,1.3770993700341525,0.7052014202688865,1.5249959844362286,0.7565376132070138
25,1.2965642922457774,1.3348585673585671,0.9450454205988186,1.397705950841604,1.1816269651479134
26,1.1527360273212677,1.3770993700341525,0.7653202247191012,1.5249959844362286,0.8713456445993032
27,1.5401565971993951,1.308751757003947,1.0244689265536722,1.3286507936507936,1.2704025974025974
28,1.2931061007957558,1.3439437074683434,0.8805751649943874,1.4222063492063493,1.1370194195165333
29,1.3070501567398118,1.2030351390177358,0.8639079721503574,1.2810053178584486,1.1293393511250651
30,1.3097053565364365,1.1932855353228045,0.94863362128068,1.259698131801215,1.1856915706934574
31,1.3097053565364365,1.2030351390177358,0.94863362128068,1.2810053178584486,1.1856915706934574
32,1.9539615618424129,1.2986207409611663,1.1223868353868354,1.3040309106098578,1.3820382459236629
33,1.0859010976068622,1.2986207409611663,0.7923361889879584,1.3040309106098578,1.0402622352713096
34,1.3521748239118654,1.029058940145816,0.9147461215853704,1.0635555588930274,1.1702077087731122
35,1.3521748239118654,1.0257831655162917,0.9147461215853704,1.056807726139236,1.1702077087731122
36,1.9504242424242424,1.344226637767063,,1.4418863049095605,1.944862404544608
37,1.9504242424242424,1.353708619749045,,1.4705420054200542,1.944862404544608
38,1.9504242424242424,1.4038276673680932,,1.6438194444444443,1.944862404544608
39,1.9504242424242424,1.3630249102019871,,1.5275629177564656,1.944862404544608
40,1.9504242424242424,1.035779229519387,,1.1537795865930356,1.944862404544608
41,1.0330539061219286,1.4240027102328623,,1.7010515222482436,1.0349293858282622
42,0.9872091959195921,1.4245538262427824,,1.7016520146520149,0.9267938222366404
43,1.4009051054829726,1.311301157409731,,1.3711102150537635,1.4248602654176423
44,1.0714091660369278,1.2590272727272729,,1.5034534161490682,1.0746031746031748
45,1.5610856812360572,1.0412010632874518,,1.121197499314748,1.5841460642227907
46,1.3626248403575993,1.1955427324788654,,1.3446990171990172,1.3648382494218112
47,1.3387902272019918,1.0104440720569752,,1.0860675029868578,1.3521201021005829
48,1.4144680642633232,1.086655926352129,,1.2238896226415092,1.433566829124206
49,1.4144680642633232,1.1718345097805998,,1.3296306946194676,1.433566829124206
50,1.7923400793342146,0.955330690763633,,1.0006517881517882,1.8044514168055688
51,1.2103488971346117,1.0340276330715774,,1.0824214416638611,1.2103459563543002
52,1.405360730593607,1.1132531322806922,,1.1488783242511258,1.4158330721909669
53,1.405360730593607,1.0088687628161312,,1.076681801994302,1.4158330721909669
54,2.3990592740592738,1.124476301686928,,1.1746883116883118,9.144045454545452
55,2.3990592740592738,0.9930567330176908,,1.0210096422167887,9.144045454545452
56,2.3990592740592738,1.0408140107805557,,1.0852530206112294,9.144045454545452
57,2.3990592740592738,1.0148805611409866,,0.9998965308703062,9.144045454545452
