McD_light_d_0,McD_light_d_1,McD_light_d_2,McD_light_d_3,McD_light_d_4,McD_light_d_5,McD_light_d_6,McD_light_d_7
1.2153838836667152,1.2119303328329802,1.2153838836667152,1.2119303328329802,1.2335550670760036,1.2308076544742954,1.2335550670760036,1.2308076544742954
1.155997738889002,1.1766584623659815,1.155997738889002,1.1766584623659815,1.1982229676854093,1.210240630395248,1.1982229676854093,1.210240630395248
1.0983175808180714,1.1437158435699402,1.0983175808180714,1.1437158435699402,1.1616469458390384,1.1903094590410472,1.1616469458390384,1.1903094590410472
1.2674121407309813,1.2666120670756134,1.2674121407309813,1.2666120670756134,1.2627125978596567,1.262232091220665,1.2627125978596567,1.262232091220665
1.4859932533843985,1.1247171719859075,1.4859932533843985,1.1247171719859075,1.3677971193641856,1.0321162082676716,1.3677971193641856,1.0321162082676716
1.485298229753595,1.0818007687819358,1.485298229753595,1.0818007687819358,1.3674611791346711,1.0068670988556259,1.3674611791346711,1.0068670988556259
1.4842790695416097,1.0026018194939619,1.4842790695416097,1.0026018194939619,1.3669651670716576,0.9584537020988075,1.3669651670716576,0.9584537020988075
1.4856441547570542,0.9974114761985655,1.4856441547570542,0.9974114761985655,1.367628616010969,0.9622918207953557,1.367628616010969,0.9622918207953557
1.2181252601484018,0.9416492649705835,1.2181252601484018,0.9416492649705835,1.2354137974145951,0.9270563299761592,1.2354137974145951,0.9270563299761592
1.1592830944694856,0.86779339796602,1.1592830944694856,0.86779339796602,1.2007205589685903,0.8780261594601305,1.2007205589685903,0.8780261594601305
1.1010341410980795,0.9974114761985655,1.1010341410980795,0.9974114761985655,1.164338521168009,0.9622918207953557,1.164338521168009,0.9622918207953557
1.2691195147716885,0.9438323423569129,1.2691195147716885,0.9438323423569129,1.263747988472909,0.9284638236667048,1.263747988472909,0.9284638236667048
1.4668739873293528,0.86779339796602,1.4668739873293528,0.86779339796602,1.3554861646200511,0.8780261594601305,1.3554861646200511,0.8780261594601305
1.4583393804476568,1.0057171246462018,1.4583393804476568,1.0057171246462018,1.3498848041017857,0.9672128667613346,1.3498848041017857,0.9672128667613346
1.4498273412534834,0.9484009804469835,1.4498273412534834,0.9484009804469835,1.3443185280869103,0.931246742757133,1.3443185280869103,0.931246742757133
1.4754065318977763,0.8726527874067389,1.4754065318977763,0.8726527874067389,1.3611212546123028,0.8812501784343159,1.3611212546123028,0.8812501784343159
1.2191262611494027,1.0667635911856694,1.2191262611494027,1.0667635911856694,1.2359036189236374,1.0017100854116145,1.2359036189236374,1.0017100854116145
1.1553101900130336,1.014384642342449,1.1553101900130336,1.014384642342449,1.1981707417549998,0.9695766321401521,1.1981707417549998,0.9695766321401521
1.0974408112748033,0.9086014700049788,1.0974408112748033,0.9086014700049788,1.1617355351383127,0.8408903557965267,1.1617355351383127,0.8408903557965267
1.2694592209937479,1.2118168675094672,1.2694592209937479,1.2118168675094672,1.263913322546939,1.0817881736413448,1.263913322546939,1.0817881736413448
1.264217718558263,1.1699716773365834,1.264217718558263,1.1699716773365834,1.2501849644960885,1.0582706401567614,1.2501849644960885,1.0582706401567614
1.1633983548257607,1.1086696174196176,1.1633983548257607,1.1086696174196176,1.0577544309811742,1.0223205813664864,1.0577544309811742,1.0223205813664864
1.3041758759561721,1.0747405780494017,1.3041758759561721,1.0747405780494017,1.2823022834864939,1.0071900893449215,1.2823022834864939,1.0071900893449215
1.2116503126503126,1.0267534207180506,1.2116503126503126,1.0267534207180506,1.2296916726736005,0.9772281869508674,1.2296916726736005,0.9772281869508674
1.1626593233558407,0.968139523392688,1.1626593233558407,0.968139523392688,1.2004645479057725,0.9392203649472489,1.2004645479057725,0.9392203649472489
1.0871064743358887,1.077490055583362,1.0871064743358887,1.077490055583362,1.1533328185694256,1.0087957338910696,1.1533328185694256,1.0087957338910696
1.4859932533843985,1.0267534207180506,1.4859932533843985,1.0267534207180506,1.3677971193641856,0.9772281869508674,1.3677971193641856,0.9772281869508674
1.4859932533843985,0.968139523392688,1.4859932533843985,0.968139523392688,1.3677971193641856,0.9392203649472489,1.3677971193641856,0.9392203649472489
1.4856441547570542,1.0831930865544541,1.4856441547570542,1.0831930865544541,1.367628616010969,1.0121747804989953,1.367628616010969,1.0121747804989953
1.486345569510612,1.0337059928914438,1.486345569510612,1.0337059928914438,1.3679666994161448,0.9815165148774249,1.3679666994161448,0.9815165148774249
1.2235925369263398,0.975857991091636,1.2235925369263398,0.975857991091636,1.2366658916867028,0.9441548193583814,1.2366658916867028,0.9441548193583814
