,"('Chiken Snacks', 'Cold Drinks')","('Chiken Snacks', 'Hot Drinks')","('Snacks', 'Cold Drinks')","('Snacks', 'Hot Drinks')"
0,2.4214306921149023,2.4086096757412863,2.4214306921149023,2.4086096757412863
1,2.3628108952802944,2.3706310589688178,2.3628108952802944,2.3706310589688178
2,2.31178550089784,2.34016469606343,2.31178550089784,2.34016469606343
3,2.4776776556776547,2.4829331778889903,2.4776776556776547,2.4829331778889903
4,2.7701421240408584,1.66695759608378,2.7701421240408584,1.66695759608378
5,2.768559845559845,1.60956837944664,2.768559845559845,1.60956837944664
6,2.7662592320629127,1.498954682494818,2.7662592320629127,1.498954682494818
7,2.769346009081858,1.509240313366497,2.769346009081858,1.509240313366497
8,2.4234206154206155,1.4406404797601198,2.4234206154206155,1.4406404797601198
9,2.3598670047900816,1.3400078369905957,2.3598670047900816,1.3400078369905957
10,2.3075427908588297,1.509240313366497,2.3075427908588297,1.509240313366497
11,2.4790014329806,1.4406404797601198,2.4790014329806,1.4406404797601198
12,2.714599761526232,1.3400078369905957,2.714599761526232,1.3400078369905957
13,2.6913978898684783,1.5179883653145492,2.6913978898684783,1.5179883653145492
14,2.669398354876616,1.4474721227621483,2.669398354876616,1.4474721227621483
15,2.739184630413546,1.3441948098115892,2.739184630413546,1.3441948098115892
16,2.4256652843319513,1.591081764115298,2.4256652843319513,1.591081764115298
17,2.3596516816516813,1.519389287001658,2.3596516816516813,1.519389287001658
18,2.307472329472329,1.2200802222100395,2.307472329472329,1.2200802222100395
19,2.4797682453416154,1.8036287813310288,2.4797682453416154,1.8036287813310288
20,2.395851597494849,1.7491302768269978,2.395851597494849,1.7491302768269978
21,1.745246139225469,1.6610698924731182,1.745246139225469,1.6610698924731182
22,2.5221605477584657,1.6417057044079515,2.5221605477584657,1.6417057044079515
23,2.3982297760924514,1.5851043028010243,2.3982297760924514,1.5851043028010243
24,2.3351158035863917,1.5062505376344084,2.3351158035863917,1.5062505376344084
25,2.253035593855377,1.6459114986137455,2.253035593855377,1.6459114986137455
26,2.7701421240408584,1.5851043028010243,2.7701421240408584,1.5851043028010243
27,2.7701421240408584,1.5062505376344084,2.7701421240408584,1.5062505376344084
28,2.769346009081858,1.6496002646280503,2.769346009081858,1.6496002646280503
29,2.770948380591693,1.5911858131757015,2.770948380591693,1.5911858131757015
30,2.3901609249646056,1.514062908768429,2.3901609249646056,1.514062908768429
31,2.3044979704915916,1.7271252423761676,2.3044979704915916,1.7271252423761676
32,2.186423350041771,1.6699508228090316,2.186423350041771,1.6699508228090316
33,2.3972965181849446,1.3843230866540164,2.3972965181849446,1.3843230866540164
34,2.3157546549835706,1.242593965799142,2.3157546549835706,1.242593965799142
35,2.2028431952662717,1.1575281431449225,2.2028431952662717,1.1575281431449225
36,2.404678166343916,1.0856573349523295,2.404678166343916,1.0856573349523295
37,2.3157546549835706,1.3246424065475828,2.3157546549835706,1.3246424065475828
38,2.2014590643274854,1.2714330825671032,2.2014590643274854,1.2714330825671032
39,2.411570652710576,1.202378465570516,2.411570652710576,1.202378465570516
40,2.326993433587371,1.4546580922286956,2.326993433587371,1.4546580922286956
41,2.208875223613596,1.376024103332949,2.208875223613596,1.376024103332949
42,2.513935168510419,1.296355813684697,2.513935168510419,1.296355813684697
43,2.44299818736272,1.5454065329771365,2.44299818736272,1.5454065329771365
44,2.3373123447590656,1.4805509321638357,2.3373123447590656,1.4805509321638357
45,1.4954622725340956,1.421104401991499,1.4954622725340956,1.421104401991499
46,1.4326853739029102,1.4111686371100165,1.4326853739029102,1.4111686371100165
47,1.1102452732675825,1.3319256089532587,1.1102452732675825,1.3319256089532587
48,1.562616118687942,1.2586487973377811,1.562616118687942,1.2586487973377811
49,1.5063717093066369,1.509875319616699,1.5063717093066369,1.509875319616699
50,1.1974603174603171,1.4587782680639825,1.1974603174603171,1.4587782680639825
51,2.106614533292794,1.39468360298549,2.106614533292794,1.39468360298549
52,1.4444141718886003,2.7581311666792194,1.4444141718886003,2.7581311666792194
53,1.3258097062815104,2.7122038939519464,1.3258097062815104,2.7122038939519464
54,2.17376837944664,2.6761181796662328,2.17376837944664,2.6761181796662328
55,1.5144774436090225,2.838751866368048,1.5144774436090225,2.838751866368048
56,1.4083058660357346,1.8351856610128716,1.4083058660357346,1.8351856610128716
57,1.383079361327655,1.7619642857142856,1.383079361327655,1.7619642857142856
58,1.3065342336572676,1.6143466927337893,1.3065342336572676,1.6143466927337893
59,1.2409551141284607,1.6347094705366807,1.2409551141284607,1.6347094705366807
60,1.9803441466297145,1.5514642857142855,1.9803441466297145,1.5514642857142855
61,1.904256015889032,1.421134132347316,1.904256015889032,1.421134132347316
